icd10,description,waterstone_groups,waterstone_source,mantel_groups,mantel_source,who_groups,who_source,note
D69.6,"Thrombocytopenia, unspecified",,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
D82.0,Wiskott-Aldrich syndrome,,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05,Thyrotoxicosis [hyperthyroidism],,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
E05.0,Thyrotoxicosis with diffuse goitre,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05.1,Thyrotoxicosis with toxic single thyroid nodule,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05.2,Thyrotoxicosis with toxic multinodular goitre,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05.3,Thyrotoxicosis from ectopic thyroid tissue,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05.4,Thyrotoxicosis factitia,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05.5,Thyroid crisis or storm,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
E05.8,Other thyrotoxicosis,,,M6,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
